Name,Assign,Status
1. Wybrane zagadnienia teorii obwodów,,Zrobione
2. Metody numeryczne w technice,,Zrobione
3. Pomiary wielkości nieelektrycznych,,Zrobione
4. Analiza procesów w elektromechanicznym systemie napędowym,,Zrobione
5. Zakłócenia w układach elektroenergetycznych,,Zrobione
6. Miernictwo wysokonapięciowe i diagnostyka izolacji,,Zrobione
7. Ochrona odgromowa i przepięciowa w obiektach budowlanych,,Zrobione
8. Materiały elektromagnetyczne,,Zrobione
9. Silne pola elektryczne i magnetyczne w procesach technologicznych,,Zrobione
10. Termokinetyka urządzeń elektrycznych i elektronicznych,,Zrobione
11. Przekształtniki statyczne w układach zasilania i sterowania,,Zrobione
12. Komputerowe wspomaganie projektowania w energetyce,,Zrobione
13. Automatyka napędu elektrycznego,,Zrobione
14. Komputerowo wspomagane projektowanie układów regulacji,,Zrobione
15. Automatyzacja procesów produkcyjnych,,Zrobione
